context_window_W_sec,num_features,train_windows,train_time_s,feat_calc_ms_per_window,model_infer_ms_per_window,end_to_end_latency_ms,mean_test_mae,mean_test_rmse,mean_test_r2
0.5,219,8988,7.290439000000333,21.951563028482077,0.028854332069150834,21.98041736055123,1.035900156272256,1.2944615996408568,0.07186602859750969
1.0,219,8976,7.9163468000006105,10.347045944741392,0.028001248289856312,10.375047193031248,1.019883751903602,1.2796689218694561,0.08820721048300616
1.5,219,8958,37.408326799999486,27.802613563295488,0.06310727565608422,27.86572083895157,1.0156378217185213,1.2762214021306983,0.08470980168515786
2.0,219,8946,23.492130999999063,18.29666580594688,0.04424687677361865,18.3409126827205,1.0157365581504039,1.2821966072704811,0.0724182575727096
3.0,219,8916,7.523468299998058,11.910812606550147,0.029301745351043813,11.94011435190119,0.9969455067169317,1.2549495820820793,0.1220183851750604
