perturbation,test_mae_mps,test_rmse_mps,degradation_pct
Clean Baseline,0.9978864924535095,1.282585113563293,0.0
Accel Gaussian Noise (sigma=0.3 m/s²),1.069967848062445,1.3072445123289673,7.223402276115465
Gyro Gaussian Noise (sigma=0.03 rad/s),0.9714295344229943,1.2244513666418742,-2.6512993442235397
Accel Bias Drift (+0.15 m/s²),1.0052499914967117,1.2665130435208567,0.7379094815781638
Gyro Bias Drift (+0.02 rad/s),0.999526509483557,1.2630176345291912,0.1643490559748183
Random 10% Packet Loss,0.9947031013813882,1.2559141772969398,-0.3190133443227863
