test_drive,driver_id,lodro_test_mae,lodro_test_rmse,lodro_test_r2,lodro_blackout_exit_error_m,lodro_blackout_peak_error_m
S-Vfa01,E,2.871398085723379,2.9949417353536587,-13.811327042635966,1467.3,1481.67
S-Vta1a,E,1.0442554080729727,1.5275720322534916,0.23509869610262946,522.88,524.41
S-Vfa02,E,1.954286872479529,2.3206296423492936,-0.48477849501683346,1185.69,1202.47
S-Vta1b,E,1.7460660040420588,2.0741386720928077,-1.4100783184481562,197.45,204.1
