condition,test_mae_mps,blackout_exit_error_m,blackout_exit_std_m
Clean Baseline (No Noise),1.0005551430943507,415.2183333333333,317.4194208727976
"+ Gaussian Sensor Noise (acc=0.05m/s^2, gyro=0.01rad/s)",0.9670357482662647,412.33666666666676,321.041484581389
+ Accel Bias Drift (+0.15 m/s^2),1.0068012086576086,415.215,318.11334346686345
+ Gyro Bias Drift (+0.02 rad/s),1.0005551430943507,415.2183333333333,317.4194208727976
+ Packet Dropout (5% random window loss),0.9951141344790937,415.21,317.4483197309446
