feature_subset,num_features,test_mae_mps,test_rmse_mps,test_r2
1. Base Statistical Moments,72,1.0042901657538614,1.2831329636005675,0.08129652395416787
"2. + Enhanced Stats (Median, IQR, Skew, ZCR)",126,0.9779841853561339,1.254246424106964,0.11939503710605215
"3. + Kinematic Dynamics (Jerk, Ang Accel)",170,0.9947716115680133,1.2652079084715584,0.1076136423536422
4. + All Features (+ Spectral Centroid & Bands),219,1.0005551430943507,1.267664452677826,0.10324409034325144
